address,brc,brn,OC,BC,BCM,MBCV,MBCDNC,MBC,SC,SCA,ST,skill
University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,BY,BIO MEDICAL ENGINEERING  (SS),195,194,193.5,192.5,190,194.775,189,182.5,181,Data Analysis and Maths
University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CE,CIVIL  ENGINEERING,193.5,192.685,190.5,191.24,190.275,193.33,190,182,174.635,Auto CAD and Structural Design
University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CM,COMPUTER SCIENCE AND ENGINEERING (SS),198,197.6666667,196.375,196,196.76,197.5,193,192.06,190.815,Python and Java
University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,CS,COMPUTER SCIENCE AND ENGINEERING,199,198.12,197.02,198,198,198.625,196.5,193.935,192.165,PHP and Web Development
University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,197.99,197.3333333,196,195.78,195.54,197.13,194.35,192,192.5,Embedded and IoT
University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,195.995,195,193.825,193.955,193.89,195.46,191,190.385,191,Embedded and Sensors
University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),196.575,196,195.855,194.35,195.035,196,192.185,189.01,187.5,Robotics and Sensors
University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,GI,GEO INFORMATICS,193.15,192,191.965,192,189,193.08,188,182.295,,Data Analysis and Maths
University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,IE,INDUSTRIAL ENGINEERING,192,191.42,190.3,189.585,189,191.5,187.065,179.815,,Problem Solving and Management
University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,IM,INFORMATION TECHNOLOGY (SS),197,196,194.4,194.905,195.765,195.825,191.5,189.145,192.44,Data Science and Mobile App 
University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,MA,MATERIAL SCIENCE AND ENGINEERING (SS),192,190.755,188.065,186.505,188,190.86,184.92,171.625,,Data Analysis and Manufacturing
University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,ME,MECHANICAL ENGINEERING,194.615,193.5,193,191,191.33,193.54,188.255,186.53,181.065,CADand CAM
University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,MI,MINING ENGINEERING,190.515,188.44,188.795,187.79,188.13,187.47,183.655,174.12,,Maths and Communication
University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,MN,MANUFACTURING ENGINEERING,191.355,190,186.82,188.31,188.5,191,185.65,184.78,172.9,Sigma and AutoCAD
University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,PT,PRINTING TECHNOLOGY,189.75,187.5,185,185.86,186.49,187.875,183.36,177.19,,Photoshop and Coreldraw
University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,XC,CIVIL ENGINEERING (TAMIL MEDIUM),187.035,181.77,177.845,184.33,179.495,182.305,176.89,173.03,,Auto CAD and Structural Design
University Departments of Anna University  Chennai - CEG Campus  Sardar Patel Road  Guindy  Chennai 600 025,XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),184.44,182.5,182.385,179.95,180.26,191.5,177.11,175.585,,CAD and CAM
University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,AP,APPAREL TECHNOLOGY (SS),186.5,182.5,179.315,182.25,182.185,184.725,174.715,168.46,,Sketch and Art
University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CH,CHEMICAL  ENGINEERING,193.68,192,180,189.745,189.32,193.385,187.495,180.415,188,Research and Chemistry
University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CL,CHEMICAL  ENGINEERING (SS),191.735,190.67,188.5,188,188,191.5,184.715,,171.39,Chemistry and Maths
University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,CR,CERAMIC TECHNOLOGY (SS),185.585,182.61,183.5,183.825,181.385,181.925,175.5,161.835,,Artistic and Imagination
University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,FS,FOOD TECHNOLOGY (SS),191.735,190.77,189.42,188.405,187.82,181.925,184.685,181.935,,Microbiology
University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,IB,INDUSTRIAL BIO TECHNOLOGY,195.5,193.835,192,193,191.5,181.925,188.45,184.035,,Problem Solving and Management
University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,IS,INDUSTRIAL BIO TECHNOLOGY (SS),194,193.385,190.5,191.045,190.5,190,186.56,177.69,,Problem Solving and Management
University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,LE,LEATHER TECHNOLOGY,185.155,182.3,181.89,181.425,179.615,181.35,178.385,177.01,163,Designing and Manufacturing
University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,PM,PHARMACEUTICAL TECHNOLOGY (SS),190.5,189,187.83,185.845,186.705,187.545,183.385,174.975,168.935,Medicaland Biology
University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,PP,PETROLEUM ENGINEERING AND TECHNOLOGY (SS),187.435,186.275,186.24,185.495,186,184.5,182.065,173.535,,Mathematics and Analytics
University Departments of Anna University  Chennai - ACT Campus  Sardar Patel Road  Guindy  Chennai 600 025,TX,TEXTILE TECHNOLOGY,185.96,184,182.25,182,180.9,184.3,178.735,168.075,161.65,Sketch and Art
University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,AE,AERONAUTICAL ENGINEERING,195.585,194,193,192.69,192.975,194.22,190,187.34,,Aerodynamics
University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,AU,AUTOMOBILE ENGINEERING,191.815,190,189.825,187.5,186.88,,186.32,176.5,175.925,Computer Aided Design
University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CM,COMPUTER SCIENCE AND ENGINEERING (SS),196.5,196.01,194.385,195.13,194.615,195.955,191.5,188.57,187.5,Artificial Intelligence (AI) and Machine Learning
University Departments of Anna University  Chennai - MIT Campus  Chrompet  Tambaram Taluk  Chengalpattu District 600 044,CS,COMPUTER SCIENCE AND ENGINEERING,197.175,196.825,195.095,195.53,195.33,197.155,192.5,193.26,,Game App Development
